"year","sftgcode","pt.succ","pt.fail","csp.succ","csp.fail","csp.plot","csp.rumr","pt.s.d","pt.f.d","pt.a.d","csp.s.d","csp.f.d","csp.a.d","cou.s.d","cou.f.d","cou.a.d","pt.tries5d","csp.tries5d","cou.tries5d","pt.glo.t","pt.glo.p","pt.glo.t.ln","csp.glo.t","csp.glo.p","csp.glo.t.ln","cou.glo.t","cou.glo.p","cou.glo.t.ln","pt.reg.t","pt.reg.p","pt.reg.t.ln","csp.reg.t","csp.reg.p","csp.reg.t.ln","cou.reg.t","cou.reg.p","cou.reg.t.ln"
1956,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.81395348837209,1.79175946922805,4,4.65116279069767,1.6094379124341,7,8.13953488372093,2.07944154167984,0,0,0,0,0,0,0,0,0
1957,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.81818181818182,1.94591014905531,2,2.27272727272727,1.09861228866811,6,6.81818181818182,1.94591014905531,0,0,0,0,0,0,0,0,0
1958,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10.1123595505618,2.30258509299405,6,6.74157303370786,1.94591014905531,10,11.2359550561798,2.39789527279837,1,20,0.693147180559945,1,20,0.693147180559945,1,20,0.693147180559945
1959,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.61797752808989,1.79175946922805,2,2.24719101123596,1.09861228866811,5,5.61797752808989,1.79175946922805,0,0,0,0,0,0,0,0,0
1960,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9.34579439252336,2.39789527279837,9,8.41121495327103,2.30258509299405,11,10.2803738317757,2.484906649788,0,0,0,1,20,0.693147180559945,1,20,0.693147180559945
1961,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9.09090909090909,2.39789527279837,7,6.36363636363636,2.07944154167984,11,10,2.484906649788,0,0,0,0,0,0,0,0,0
1962,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.48275862068965,2.484906649788,9,7.75862068965517,2.30258509299405,12,10.3448275862069,2.56494935746154,0,0,0,0,0,0,0,0,0
1963,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11.965811965812,2.70805020110221,13,11.1111111111111,2.63905732961526,14,11.965811965812,2.70805020110221,0,0,0,0,0,0,0,0,0
1964,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.04201680672269,1.94591014905531,7,5.88235294117647,2.07944154167984,8,6.72268907563025,2.19722457733622,0,0,0,0,0,0,0,0,0
1965,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.43801652892562,2.30258509299405,9,7.43801652892562,2.30258509299405,9,7.43801652892562,2.30258509299405,0,0,0,0,0,0,0,0,0
1966,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,2.77258872223978,13,10.4,2.63905732961526,16,12.8,2.83321334405622,0,0,0,0,0,0,0,0,0
1967,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.55555555555556,2.07944154167984,8,6.34920634920635,2.19722457733622,8,6.34920634920635,2.19722457733622,0,0,0,0,0,0,0,0,0
1968,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.42635658914729,2.07944154167984,9,6.97674418604651,2.30258509299405,10,7.75193798449612,2.39789527279837,0,0,0,1,20,0.693147180559945,1,20,0.693147180559945
1969,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7.75193798449612,2.39789527279837,11,8.52713178294574,2.484906649788,13,10.077519379845,2.63905732961526,0,0,0,0,0,0,0,0,0
1970,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.15384615384615,2.19722457733622,11,8.46153846153846,2.484906649788,12,9.23076923076923,2.56494935746154,0,0,0,0,0,0,0,0,0
1971,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.97014925373134,2.19722457733622,9,6.71641791044776,2.30258509299405,10,7.46268656716418,2.39789527279837,1,16.6666666666667,0.693147180559945,0,0,0,1,16.6666666666667,0.693147180559945
1972,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.66666666666667,2.30258509299405,8,5.92592592592593,2.19722457733622,9,6.66666666666667,2.30258509299405,0,0,0,0,0,0,0,0,0
1973,"AFG",1,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1,1,1,6,4.41176470588235,1.94591014905531,5,3.67647058823529,1.79175946922805,6,4.41176470588235,1.94591014905531,0,0,0,0,0,0,0,0,0
1974,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,6.56934306569343,2.30258509299405,10,7.2992700729927,2.39789527279837,11,8.02919708029197,2.484906649788,0,0,0,0,0,0,0,0,0
1975,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13,9.15492957746479,2.63905732961526,13,9.15492957746479,2.63905732961526,15,10.5633802816901,2.77258872223978,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1976,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,7.80141843971631,2.484906649788,12,8.51063829787234,2.56494935746154,13,9.21985815602837,2.63905732961526,0,0,0,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1977,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,5.63380281690141,2.19722457733622,13,9.15492957746479,2.63905732961526,13,9.15492957746479,2.63905732961526,2,28.5714285714286,1.09861228866811,2,28.5714285714286,1.09861228866811,2,28.5714285714286,1.09861228866811
1978,"AFG",1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,10,6.99300699300699,2.39789527279837,12,8.39160839160839,2.56494935746154,12,8.39160839160839,2.56494935746154,0,0,0,0,0,0,0,0,0
1979,"AFG",0,0,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,3.4965034965035,1.79175946922805,8,5.59440559440559,2.19722457733622,8,5.59440559440559,2.19722457733622,0,0,0,0,0,0,0,0,0
1980,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,5.55555555555556,2.19722457733622,13,9.02777777777778,2.63905732961526,13,9.02777777777778,2.63905732961526,0,0,0,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1981,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,4.82758620689655,2.07944154167984,10,6.89655172413793,2.39789527279837,10,6.89655172413793,2.39789527279837,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1982,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,4.82758620689655,2.07944154167984,9,6.20689655172414,2.30258509299405,9,6.20689655172414,2.30258509299405,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1983,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4.13793103448276,1.94591014905531,7,4.82758620689655,2.07944154167984,8,5.51724137931035,2.19722457733622,0,0,0,0,0,0,0,0,0
1984,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.44827586206897,1.79175946922805,8,5.51724137931035,2.19722457733622,9,6.20689655172414,2.30258509299405,0,0,0,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1985,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.82758620689655,2.07944154167984,6,4.13793103448276,1.94591014905531,7,4.82758620689655,2.07944154167984,0,0,0,0,0,0,0,0,0
1986,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.44827586206897,1.79175946922805,5,3.44827586206897,1.79175946922805,7,4.82758620689655,2.07944154167984,0,0,0,0,0,0,0,0,0
1987,"AFG",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5.51724137931035,2.19722457733622,8,5.51724137931035,2.19722457733622,8,5.51724137931035,2.19722457733622,0,0,0,0,0,0,0,0,0
1988,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.44827586206897,1.79175946922805,6,4.13793103448276,1.94591014905531,7,4.82758620689655,2.07944154167984,0,0,0,0,0,0,0,0,0
1989,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.20689655172414,2.30258509299405,10,6.89655172413793,2.39789527279837,11,7.58620689655172,2.484906649788,0,0,0,0,0,0,0,0,0
1990,"AFG",0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,4,2.77777777777778,1.6094379124341,10,6.94444444444444,2.39789527279837,10,6.94444444444444,2.39789527279837,0,0,0,0,0,0,0,0,0
