"sftgcode","year","country","yrborn","yrdied","reg.eap","reg.afr","reg.eur","reg.mna","reg.sca","reg.amr","dosreg","auto.p","auto.lcl","auto.ucl","nomod.p","nomod.lcl","nomod.ucl","d.pitf","d.da","d.fh","d.bmr","d.dd","all","four","three","uds.mean","uds.sd","uds.median","uds.pct025","uds.pct975"
"AFG",1945,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.25812981155879e-12,3.36751612281914e-18,1.51421473236966e-06,0.00619008669300743,1.71633993586527e-05,0.693284639587292,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA
"AFG",1946,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.11812461215467e-12,4.01270262208309e-18,1.11806113710412e-06,0.00614904794708379,3.15774797147481e-05,0.547965745150865,0,NA,NA,0,0,0,0,1,-1.86057870434435,0.472388462109894,-1.81001562799863,-2.91683848448459,-1.05932283691346
"AFG",1947,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",7.61110998263744e-13,2.44187516074638e-18,2.37231543841905e-07,0.00392424382550319,2.59004199006921e-05,0.374707504260755,0,NA,NA,0,0,0,0,1,-1.86918504724578,0.487366979663414,-1.81808037357048,-2.95810212388358,-1.04716780937702
"AFG",1948,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",4.87480729787606e-13,1.04609912461524e-18,2.27165287055287e-07,0.00377968110777226,3.48160863276848e-05,0.292502397611757,0,NA,NA,0,0,0,0,1,-1.56973548285144,0.313600217817418,-1.55844078028493,-2.21428504886328,-0.989211859359843
"AFG",1949,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",4.11117805602549e-13,1.39359475462241e-18,1.21281907114082e-07,0.00868311102722813,4.95764849372298e-05,0.607457072197765,0,NA,NA,0,0,0,0,1,-1.56630537055047,0.308263533416201,-1.55554523142066,-2.20378888919849,-0.999013781482094
"AFG",1950,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",3.26691647612703e-13,1.19900767573008e-18,8.90131275054952e-08,0.00482484384135252,1.69248737182387e-05,0.581376957379766,0,NA,NA,0,0,0,0,1,-1.46059031609156,0.232060899468519,-1.45942956646691,-1.9248496632914,-1.01427675150314
"AFG",1951,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.39931383834814e-13,1.03142041000533e-18,5.58133862559555e-08,0.00322449689666254,1.51023138488836e-05,0.409302444077466,0,NA,NA,0,0,0,0,1,-1.56863702066483,0.309263338257287,-1.55849781035499,-2.20215515511656,-0.98833333497206
"AFG",1952,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.58279753239813e-13,1.08748956276154e-18,6.13416708775109e-08,0.00429445899818359,7.19900093520992e-06,0.720976217311647,0,NA,NA,0,0,0,0,1,-1.57369399687977,0.301678848709326,-1.5665901394567,-2.22261412373165,-1.01595060503697
"AFG",1953,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.26661667886077e-13,9.01571017094241e-19,5.69844280563727e-08,0.00463722861408432,2.47540884049482e-05,0.467175881911591,0,NA,NA,0,0,0,0,1,-1.56640725088441,0.300665005527528,-1.55431414945364,-2.18773602406236,-1.00566843955318
"AFG",1954,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.08432036332497e-13,6.85996898980539e-19,6.33296026308658e-08,0.0072386265322609,6.95342520414587e-05,0.433276329591522,0,NA,NA,0,0,0,0,1,-1.57336054444338,0.308133826177864,-1.56477886742327,-2.19356049324269,-0.980459019295976
"AFG",1955,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.18636420553257e-13,4.40333143030296e-19,3.19635259225773e-08,0.00507305727064256,6.36126433944702e-05,0.290116845649253,0,0,NA,0,0,0,1,1,-1.46465492041114,0.231547582810519,-1.46024006504615,-1.92357476664373,-1.01800113927297
"AFG",1956,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.48776972071353e-13,3.52403523515331e-19,6.28103425517613e-08,0.0054281431016657,2.32770128362883e-05,0.561337127425139,0,0,NA,0,0,0,1,1,-1.56145563785985,0.309995852305814,-1.55468864728035,-2.17970722012245,-0.987591841344547
"AFG",1957,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.56144179607241e-13,2.98457859690772e-19,8.16899339116213e-08,0.00300589946308395,3.52369831459609e-05,0.205061163550401,0,0,NA,0,0,0,1,1,-1.56729113648063,0.309461017534263,-1.5614110638457,-2.19648942920555,-0.988767948802601
"AFG",1958,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.49325324666355e-13,3.25718745396386e-19,6.8457991366457e-08,0.0035662572606361,1.29737041650793e-05,0.496810307219804,0,0,NA,0,0,0,1,1,-1.570044637857,0.306941208130187,-1.5610209525978,-2.1857148179459,-0.994080055582937
"AFG",1959,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.51999779117381e-13,3.58646618175314e-19,6.44197664010763e-08,0.00134994129217166,4.6004110992451e-06,0.284280611769823,0,0,NA,0,0,0,1,1,-1.56697976285677,0.300039366231192,-1.56671494515999,-2.16354849230329,-0.99134849804353
"AFG",1960,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",1.49055539363689e-13,3.04461134528774e-19,7.29733607151678e-08,0.00578666825470998,5.38843364315285e-05,0.385996251367686,0,0,NA,0,0,0,1,1,-1.46168507010039,0.229938362173922,-1.46180715613515,-1.92459530165638,-1.00929698092019
"AFG",1961,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.15924885296665e-13,6.42977931752553e-19,7.2511901897713e-08,0.00540283529401667,1.24110535632211e-05,0.703929957825111,0,0,NA,0,0,0,1,1,-1.56310477184025,0.309766988390937,-1.55708809536308,-2.21101997201191,-0.964524517143239
"AFG",1962,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.08183052966379e-13,6.73736397719504e-19,6.43280976078014e-08,0.00483802807642566,2.99048047306038e-05,0.441436261059676,0,0,NA,0,0,0,1,1,-1.57262824426813,0.308197475362052,-1.56308560664553,-2.19394526794035,-0.998737098257779
"AFG",1963,"Afghanistan",1919,9999,0,0,0,0,1,0,"South & Central Asia",2.08573352283165e-13,5.60160404618754e-19,7.76613976023029e-08,0.00285546552802128,1.71597694681868e-05,0.323355005853231,0,0,NA,0,0,0,1,1,-1.56935343930303,0.306762084511848,-1.5627401480503,-2.18133495166629,-0.983753546169363
