"name","n","p00","p25","p50","p75","p100"
"democracy",161,1.06159587624646,1.10161044368293,1.14272463484736,1.18680829255463,1.20805791413528
"democracy_mean",1,1.30107489656018,1.30107489656018,1.30107489656018,1.30107489656018,1.30107489656018
"democracy_var",1,1.05656928334018,1.05656928334018,1.05656928334018,1.05656928334018,1.05656928334018
"expert_bias",5,1.24234450028229,1.27778536357688,1.28208456739724,1.29420989897967,1.30756738086157
"expert_var",5,1.00670356210044,1.01079917306254,1.02282675992025,1.02298005060635,1.0329911973151
"lp__",1,1.05375722337266,1.05375722337266,1.05375722337266,1.05375722337266,1.05375722337266
