"","year","country","demo","lcl","ucl"
"1",1991,"ARM",0.528242666560329,0.154718106751879,0.872611333248413
"2",1991,"BLR",0.486979099736707,0.103857531349063,0.886037373679384
"3",1991,"GRG",0.243410027328124,0.04573826638026,0.683489426274393
"4",1991,"KYR",0.00111283801726774,1.46518879273096e-05,0.0780940110535267
"5",1991,"MLD",0.956855946718952,0.606531283469247,0.996875843107166
"6",1991,"RUS",0.680226971752824,0.136674080717077,0.966197166648507
"7",1991,"UKR",0.994864127146762,0.717077722322625,0.999932458494765
"8",1992,"ARM",0.524991654739491,0.161290342942182,0.863981266397421
"9",1992,"BLR",0.474977580419432,0.108165459761451,0.870937317294458
"10",1992,"GRG",0.251582234579104,0.057493921648387,0.649417624631322
"11",1992,"KYR",0.000945114490341952,1.53345043545718e-05,0.0551417331198171
"12",1992,"MLD",0.961756734099724,0.660399027260554,0.996934624700292
"13",1992,"RUS",0.733034692640042,0.233026266096644,0.961262894995213
"14",1992,"UKR",0.9956092580193,0.762395851241352,0.999937598161667
"15",1993,"ARM",0.506124007321725,0.156714133494299,0.849652374107011
"16",1993,"BLR",0.447414381802891,0.0923638345419287,0.865630155467724
"17",1993,"GRG",0.255822106070701,0.0642062008279407,0.632672652822307
"18",1993,"KYR",0.000928576070049521,1.70541924067245e-05,0.0482107756883895
"19",1993,"MLD",0.966215181104352,0.654882268077626,0.997685351598497
"20",1993,"RUS",0.753219629055239,0.27921282694844,0.960077954915811
"21",1993,"UKR",0.99640912853391,0.805274414991622,0.999946294114246
"22",1994,"ARM",0.479743583523987,0.139607789715465,0.839755671381679
"23",1994,"BLR",0.362277010965052,0.0462067476342511,0.86947574559782
"24",1994,"GRG",0.258282903231125,0.0681376284752498,0.623828596102491
"25",1994,"KYR",0.000952882183014649,1.9260169370095e-05,0.0451019194003561
"26",1994,"MLD",0.971562226832415,0.649701029510138,0.998413518270709
"27",1994,"RUS",0.760737097013162,0.294122487579804,0.960414237122921
"28",1994,"UKR",0.997291508812548,0.817371917203366,0.99996698977937
"29",1995,"ARM",0.439835619282861,0.113983240712174,0.827359229617428
"30",1995,"BLR",1.53840903035318e-40,6.12775166904028e-110,1
"31",1995,"GRG",0.258227249302564,0.071820432270694,0.610318297656083
"32",1995,"KYR",0.00114814038916837,3.56845471700867e-05,0.0357028606683665
"33",1995,"MLD",0.982612084634403,0.531729566833537,0.999644556553299
"34",1995,"RUS",0.759294096020516,0.293257035239001,0.959968897840205
"35",1995,"UKR",0.997597940879659,0.841526853885483,0.999969213861048
"36",1996,"ARM",0.367257442294927,0.0567582352276576,0.848453240344531
"37",1996,"BLR",5.8564537499175e-41,9.06695072117918e-110,1
