"name","n","p00","p25","p50","p75","p100"
"country_var",1,1.05570451119715,1.05570451119715,1.05570451119715,1.05570451119715,1.05570451119715
"democracy",161,1.0291618669518,1.11572348172272,1.26301986444594,1.40949207464851,1.59052892107556
"expert_bias",5,1.41498453358581,1.50386665696624,1.50772299939335,1.54189985402729,1.60870461237737
"expert_var",5,1.01769690335277,1.01986590007884,1.0275186864583,1.06936358501429,1.1053381535828
"lp__",1,1.00857785828015,1.00857785828015,1.00857785828015,1.00857785828015,1.00857785828015
"time_var",1,1.01165741074862,1.01165741074862,1.01165741074862,1.01165741074862,1.01165741074862
