"name","n","p00","p25","p50","p75","p100"
"democracy",12351,1.00111493866348,1.00755955223799,1.26938050241373,1.28643860117152,1.33526538321891
"democracy_mean",1,3.2649927281027,3.2649927281027,3.2649927281027,3.2649927281027,3.2649927281027
"democracy_var",1,4.64464569535236,4.64464569535236,4.64464569535236,4.64464569535236,4.64464569535236
"expert_bias",5,1.36735988170128,1.37109442497094,1.37979892871572,1.37983492582445,1.38604402423718
"expert_var",5,3.41579517055984,3.57677842442211,4.17249626860032,4.31354435062355,4.40799924651231
"lp__",1,7.48470005814167,7.48470005814167,7.48470005814167,7.48470005814167,7.48470005814167
