"name","n","p00","p25","p50","p75","p100"
"country_var",1,2.96783414087517,2.96783414087517,2.96783414087517,2.96783414087517,2.96783414087517
"democracy",12351,1.00211546948872,1.13816908456828,1.28371739988562,1.53270573014435,9.92393885963356
"expert_bias",5,1.16185379759818,1.18832580787704,1.20987197655176,1.26389300500469,1.41873976742954
"expert_var",5,1.03192744520617,1.81952020647044,2.55873556388783,3.04085005357047,3.23339994043248
"lp__",1,4.64370644496963,4.64370644496963,4.64370644496963,4.64370644496963,4.64370644496963
"time_var",1,3.67381581375929,3.67381581375929,3.67381581375929,3.67381581375929,3.67381581375929
