"name","n","p00","p25","p50","p75","p100"
"democracy",12351,0.998999515548988,1.03799725358627,1.19806990216071,1.57908835148937,5.18161714947035
"expert_bias",5,1.00547810618998,1.027276301981,1.07565266444196,1.11748500680396,1.30848540986604
"expert_var",5,1.00711557546826,1.03341467829244,1.05388023527194,1.32611742977188,1.40756419342714
"lp__",1,1.81288354107615,1.81288354107615,1.81288354107615,1.81288354107615,1.81288354107615
"time_var",1,1.64458638208021,1.64458638208021,1.64458638208021,1.64458638208021,1.64458638208021
