"","year","country","demo","lcl","ucl"
"1",1945,"AFG",0.00684048030616255,2.16492142909324e-05,0.686639054589687
"2",1945,"ALB",0.00726240044758121,2.12787106764568e-05,0.715504464109283
"3",1945,"ALG",0.440290298527933,6.48297691183023e-06,0.999989523404472
"4",1945,"ANG",0.535103524895654,1.74914430025114e-05,0.999986797250455
"5",1945,"ARG",0.00729973408037307,1.87123493672436e-05,0.742905751153304
"6",1945,"ARM",0.54472693219109,9.10650796148995e-06,0.999993638796524
"7",1945,"AUL",0.997428673625168,0.728226910864339,0.999982192487811
"8",1945,"AUS",0.0117858934475832,3.73912307761724e-05,0.791838772486983
"9",1945,"AZE",0.483133945638218,9.60490653705145e-06,0.999989007070167
"10",1945,"BAH",0.538832328583081,8.35766806227109e-06,0.999993877955099
"11",1945,"BAR",0.514334826882079,1.40668725610665e-05,0.999987457610801
"12",1945,"BEL",0.997066654016337,0.760964707984699,0.999972447010944
"13",1945,"BEN",0.499624507093899,8.36524907620077e-06,0.999991609584616
"14",1945,"BFO",0.413134456792207,9.52171978859144e-06,0.999980786540284
"15",1945,"BHM",0.62697265783053,1.44994378497887e-05,0.999994867377055
"16",1945,"BHU",0.00712863931480928,2.12362053191215e-05,0.708233565337293
"17",1945,"BLR",0.529723524409191,1.08297050948142e-05,0.99999146456584
"18",1945,"BLZ",0.49551476269219,1.32937025858235e-05,0.999986220626383
"19",1945,"BNG",0.447397429325345,1.37905190859147e-05,0.99997896142605
"20",1945,"BOL",0.0107698027040714,4.02069042205392e-05,0.746696387646905
"21",1945,"BOS",0.569109375323534,1.58712505176151e-05,0.999990901774477
"22",1945,"BOT",0.520758214092431,1.1237283775807e-05,0.999990483019196
"23",1945,"BRA",0.00811195314246947,2.52853260095647e-05,0.725660900450718
"24",1945,"BUI",0.573762384829629,1.79953875982253e-05,0.999990068745577
"25",1945,"BUL",0.00645501550516313,1.6352639589836e-05,0.720765326938866
"26",1945,"CAM",0.470952713216647,1.36719489644005e-05,0.999982747054529
"27",1945,"CAN",0.997056807695329,0.728994155659024,0.999976561345199
"28",1945,"CAO",0.526617571740904,1.43237401919257e-05,0.999988425794128
"29",1945,"CAP",0.541385766363978,1.61730451080027e-05,0.999988394197566
"30",1945,"CEN",0.394939651784802,1.15048323389196e-05,0.999972997158245
"31",1945,"CHA",0.511766718118355,1.45893713024825e-05,0.999986721536288
"32",1945,"CHL",0.997409071682113,0.702791127852246,0.9999840440841
"33",1945,"CHN",0.00745952181114923,2.60723379426027e-05,0.684181729491863
"34",1945,"COL",0.996834713376861,0.687517741075097,0.999977816570494
"35",1945,"COM",0.536495326904707,1.37523346422739e-05,0.999989735110145
"36",1945,"CON",0.608406300447533,2.25116539974213e-05,0.999990673963359
"37",1945,"COS",0.57912952854267,0.162593802745328,0.906992686997535
"38",1945,"CRO",0.541566849270289,1.86339251668486e-05,0.999986647747791
"39",1945,"CUB",0.99723444315884,0.751402004091507,0.999976754693955
"40",1945,"CYP",0.53837420566104,6.93418162704697e-06,0.999994901908119
"41",1945,"CZE",0.997230147441617,0.733799895935501,0.999978734152544
"42",1945,"CZR",0.456906438381011,1.17502521293433e-05,0.999983398786626
"43",1945,"DEN",0.996920763513776,0.670851190315295,0.999980555791622
"44",1945,"DJI",0.514531349961252,1.18325281419945e-05,0.999989466400361
"45",1945,"DOM",0.0110421658636261,4.33732457058597e-05,0.741880095225635
"46",1945,"DRV",0.481148247011774,2.49135460878214e-05,0.999971029062683
"47",1945,"ECU",0.00758641932392624,2.40240274275317e-05,0.708657260499682
"48",1945,"EGY",0.502071468915309,1.67617290202826e-05,0.99998351375029
"49",1945,"EQG",0.578731212294617,1.50389703375682e-05,0.999992031328419
"50",1945,"ERI",0.496822084058271,4.16693630561027e-06,0.999995725767178
"51",1945,"EST",0.50243789386152,1.48043155582342e-05,0.99998548161597
"52",1945,"ETH",0.00592877791521775,1.40623809707544e-05,0.716671744925116
"53",1945,"ETI",0.429371554307242,8.33439263276462e-06,0.999985279875638
"54",1945,"ETM",0.515537712265035,2.24859759484029e-05,0.999980143076852
"55",1945,"FIN",0.996405264462688,0.649417791615972,0.999975890638845
"56",1945,"FJI",0.392427531178844,8.34556302971973e-06,0.999979995494783
"57",1945,"FRN",0.00601523324996319,1.40763326588035e-05,0.722349932167715
"58",1945,"GAB",0.488992594217997,1.99120607455375e-05,0.999978254708335
"59",1945,"GAM",0.476212304146771,7.53487005084213e-06,0.999990884417201
"60",1945,"GDR",0.00913112291072566,3.34737139758671e-05,0.717263831626018
"61",1945,"GER",0.528634059708914,9.42711263459534e-06,0.999992504758175
"62",1945,"GFR",0.00835102160250716,1.77470086052782e-05,0.799841689150804
"63",1945,"GHA",0.529760294492422,9.36363315468599e-06,0.999992622231275
"64",1945,"GNB",0.498508677930175,1.72114088481025e-05,0.999982582022292
"65",1945,"GRC",0.997145416938541,0.729393388119676,0.999977910687516
"66",1945,"GRG",0.40239329434472,9.20729452203247e-06,0.999979692490316
"67",1945,"GUA",0.995960233677149,0.697363873898375,0.999962090268887
"68",1945,"GUI",0.433982127184846,7.5686670392899e-06,0.999987125401414
"69",1945,"GUY",0.474667275361265,1.36709844445049e-05,0.999983254860054
"70",1945,"HAI",0.544325653886089,0.0891261969485024,0.935829496711125
"71",1945,"HON",0.00960143874983536,3.78765498698514e-05,0.712744615693736
"72",1945,"HUN",0.00839750861476171,2.19598983122991e-05,0.765575833648443
"73",1945,"IND",0.578165036183948,1.70106084947681e-05,0.99999094465916
