"name","n","p00","p25","p50","p75","p100"
"country_var",1,1.03533303136672,1.03533303136672,1.03533303136672,1.03533303136672,1.03533303136672
"democracy",161,0.999204658013435,1.02530077475942,1.04955951052514,1.1049291042961,2.5484111897869
"expert_bias",5,1.00738639002612,1.01114036376041,1.01134053715992,1.02459590392443,1.11644825370188
"expert_var",5,1.10464088733136,1.1142170912724,1.12335627168205,1.17455181921763,1.19985136230753
"lp__",1,1.15938750054301,1.15938750054301,1.15938750054301,1.15938750054301,1.15938750054301
"noise",684,0.999048623717031,1.00481407374072,1.01592995507468,1.07357318580643,1.10481487673149
"time_var",1,1.1486314640976,1.1486314640976,1.1486314640976,1.1486314640976,1.1486314640976
